,device_hw_proc,device_hw_ram,device_hw_display,device_hw_video,device_os_name,device_os_version
145926,Intel(R) Core(TM) i7-4770S CPU @ 3.10GHz,8GB,1920x1080,NVIDIA GeForce GT 750M,Microsoft Windows 10 Enterprise,10.0.14393  Build 14393
183664,Intel64 Family 6 Model 78 Stepping 3 Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,8GB 1073741824,"3000x2000 Touch 192,192 32","Intel(R) HD Graphics 520, PCI\VEN_8086&DEV_1916&SUBSYS_00141414&REV_07\3&11583659&0&10",Microsoft Windows 10 Pro,10.0.14393  Build 14393
431844,Intel64 Family 6 Model 78 Stepping 3 Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz,8GB 1073741824,"1366x768 96,96 32","Intel(R) HD Graphics 520, PCI\VEN_8086&DEV_1916&SUBSYS_1CCD1043&REV_07\3&11583659&1&10",Microsoft Windows 10 Home Single Language,10.0.16299  Build 16299
453240,Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,16GB,1920x1080,Intel(R) HD Graphics 620,Microsoft Windows 10 Home,10.0.15063  Build 15063
538462,Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz,4GB,1366x768,Intel(R) HD Graphics 520,Microsoft Windows 10 Pro,10.0.14393  Build 14393
672334,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz,8GB,1440x900,NVIDIA GeForce GTX 750 Ti,Microsoft Windows 10 企业版,10.0.16299  Build 16299
670864,Intel64 Family 6 Model 60 Stepping 3 Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,16GB 2147483648,"1680x1050 96,96 32","NVIDIA GeForce GTX 750 Ti, PCI\VEN_10DE&DEV_1380&SUBSYS_288A19DA&REV_A2\4&51F456D&0&0008",Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
281489,Intel64 Family 6 Model 61 Stepping 4 Intel(R) Core(TM) i7-5500U CPU @ 2.40GHz,8GB 1073741824,"1366x768 96,96 32","Intel(R) HD Graphics 5500, PCI\VEN_8086&DEV_1616&SUBSYS_2248103C&REV_09\3&21436425&0&10",Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
431460,Intel64 Family 6 Model 158 Stepping 9 Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,8GB 1073741824,"1920x1080 96,96 32","Intel(R) HD Graphics 630, PCI\VEN_8086&DEV_5912&SUBSYS_06C71028&REV_04\3&11583659&0&10",Microsoft Windows 10 Pro,10.0.15063  Build 15063
197327,Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz,8GB,1920x1080,Intel(R) HD Graphics 530,‏‏Microsoft Windows 10 Home Single Language,10.0.15063  Build 15063
436662,AMD A4-5300B APU with Radeon(tm) HD Graphics   ,7GB,1024x768,AMD Radeon HD 7480D,Microsoft Windows 7 Ultimate ,6.1.7601 Service Pack 1 Build 7601
175601,Intel(R) Pentium(R) CPU B970 @ 2.30GHz,4GB,1366x768,Intel(R) HD Graphics,Microsoft Windows 10 Pro,10.0.14393  Build 14393
158144,Intel64 Family 6 Model 94 Stepping 3 Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz,8GB 1073741824,"1920x1080 120,120 32","Intel(R) HD Graphics 530, PCI\VEN_8086&DEV_191B&SUBSYS_000117AA&REV_06\3&11583659&1&10",Microsoft Windows 10 专业版,10.0.14393  Build 14393
451397,Intel64 Family 6 Model 60 Stepping 3 Intel(R) Core(TM) i5-4460  CPU @ 3.20GHz,16GB 1073741824,"1920x1080 96,96 32","NVIDIA GeForce GT 730, PCI\VEN_10DE&DEV_1287&SUBSYS_85011043&REV_A1\4&3834D97&0&0008",Майкрософт Windows 10 Pro,10.0.15063  Build 15063
662662,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,8GB,1920x1080,Intel(R) HD Graphics 530,Microsoft Windows 7 旗舰版 ,6.1.7601 Service Pack 1 Build 7601
166565,Intel(R) Core(TM) i7-3635QM CPU @ 2.40GHz,8GB,2880x1800,NVIDIA GeForce GT 650M,Microsoft Windows 10 Pro,10.0.15063  Build 15063
2105,Intel(R) Core(TM) i5-2450M CPU @ 2.50GHz,3GB,,,Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
